Competency domain,Focus Areas,Resource title,URL,Platform / host,Resource type,Stated learning outcomes,Stated prerequisites,Length (mins),Indicated level,Intended audience,Format type (passive / interactive),Publication date,Last updated,Captions / transcripts,Mobile accessible,Skill area,Student journey stage,Comments,Faculty comments,Faculty initials
Foundational technical knowledge and digital literacy,Software Development,Become a Software Developer,https://www.linkedin.com/learning/paths/become-a-software-developer,LinkedIn Learning,Online Course,"Learn foundations of programming for software development.

Practice with popular technologies like HTML and CSS.

Explore core languages like Python, JavaScript, and Java.","Start with Programming Foundations: Fundamentals
",38 hours ,Beginner,N/A,passive,N/A,April 2025,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,Good course for an introduction to software engineering domain. Could be better taken before foundations of software engineering course. ,,
,,Introduction to Model Context Protocol (MCP),https://www.linkedin.com/learning/model-context-protocol-mcp-for-beginners-by-microsoft/introduction-to-model-context-protocol-mcp,LinkedIn Learning,Online Course,"learn how to build AI agents with the Model Context Protocol (MCP)—a powerful framework for building secure, scalable, and real-world AI applications. 

Find out how to design and deploy AI agents with MCP in Visual Studio Code, contribute to the developer community, and apply best practices from early adopters across a variety of industries.",N/A,51 minutes,Beginner,N/A,Interactive,9/12/2025,17/02/2025,Yes,No,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,,,
,,Agile Software Development: Refactoring,https://www.linkedin.com/learning/agile-software-development-refactoring,LinkedIn Learning,Online Course,"By the end of this course, students will be able to configure a Test-Driven Development (TDD) environment and execute fundamental refactoring techniques—such as renaming variables, extracting methods, and inlining methods—to safely improve code quality.

Students will be equipped to manage technical debt and stabilize legacy code by systematically simplifying existing codebases, removing duplication, and designing more reusable objects.

Students will be able to integrate continuous refactoring practices into an Agile development cycle, enabling them to rapidly and efficiently add new features to a streamlined codebase.",N/A,1 h 31minutes ,Intermediate,N/A,Interactive,"February 1, 2019",N/A,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Ongoing study,More of a certification course. Requires Payment to acess ,,
,,Agile Software Development: Transforming Your Organization,https://www.linkedin.com/learning/agile-software-development-transforming-your-organization-22395018,LinkedIn Learning,Online Course,"By the end of this course, students will be able to identify common challenges in agile adoption and implement practical techniques to effectively engage both internal and external customers while assessing and prioritizing their requests.

Students will learn to drive organizational change by developing an agile portfolio, leading top-down transformations, breaking down existing IT silos, and utilizing specific metrics to track the progress of the transformation.

Students will be equipped to scale agile practices across the enterprise by leveraging technical DevOps resources and applying established scaling models such as Scrum@Scale, the Scaled Agile Framework (SAFe), and Large-Scale Scrum (LeSS).",N/A,1 h 18 minutes ,Beginner,N/A,Interactive,N/A,12/2/2025,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,,,
,,Software Development Life Cycle (SDLC),https://www.linkedin.com/learning/software-development-life-cycle-sdlc-29588033,LinkedIn Learning,Online Course,"By the end of this course, students will be able to evaluate various software development life cycle (SDLC) approaches to select the optimal workflow for their organization.

Students will learn to assess how the choice of a specific development methodology directly impacts project budgeting, staffing, and the overall management of software delivery.

Students will be equipped to differentiate and apply modern, high-level development practices, including Lean, Kanban, and DevOps.",N/A,1h 55 minutes ,Beginner,N/A,Interactive,"May 27, 2025",N/A,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,,,
,,Agile Software Development: Clean Coding Practices,https://www.linkedin.com/learning/agile-software-development-clean-coding-practices,LinkedIn Learning,Online Course,"By the end of this course, students will be able to write clean code that is easily understood by both human developers and computers.

Students will learn to apply best practices for naming conventions, formatting, and logic to ensure clear and thoughtful code construction.

Students will be equipped to design and implement clean unit tests that are both fast and efficient.",N/A,1h 4 minutes ,Intermediate,N/A,Interactive,"November 4, 2019",N/A,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",First semester,,,
,Programming Fundamentals,Programming Foundations: Fundamentals,https://www.linkedin.com/learning/programming-foundations-fundamentals-3,LinkedIn Learning,Online Course,"By the end of this course, students will be able to apply fundamental programming concepts—such as variables, strings, and conditional statements—using Python to understand how code operates under the hood.

Students will learn to manipulate various data types and systematically troubleshoot common programming errors.

Students will be equipped to compare syntax across multiple programming languages and apply specific criteria to confidently choose the best language for their future coding journey.",N/A,3h 11 minutes ,Beginner,N/A,Interactive,N/A,December 2024,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,This course is part of a Professional Certificate from Microsoft.,,
,,Programming Foundations: Beyond the Fundamentals,https://www.linkedin.com/learning/programming-foundations-beyond-the-fundamentals,LinkedIn Learning,Online Course,"By the end of this course, students will be able to manage paired data using Python dictionaries and implement for loops to iterate through collections.

Students will learn to perform data type conversions and apply string concatenation to effectively format and output descriptive results to the terminal.

Students will be equipped to systematically debug Python code by identifying and resolving syntax, runtime, and logic errors.","Be familiar with variables, functions, and conditional logic.
Watch the Programming Foundations: Fundamentals course if you want to understand the syntax for basic Python commands.
Be sure to install any version of Python that starts with a “3.” Python 3.8.0 is used in the course.
Use any code editor. Visual Studio Code is used in the course.",3h 6 minutes ,Beginner,N/A,Interactive,N/A,November 2024,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,This course is part of a Professional Certificate from Microsoft.,,
,,Programming Foundations: Data Structures,https://www.linkedin.com/learning/programming-foundations-data-structures-25191158,LinkedIn Learning,Online Course,"By the end of this course, students will be able to implement and utilize fundamental data structures, including arrays, lists, dictionaries, stacks, and queues.

Students will learn to evaluate the time and space complexity of various data structures to analyze trade-offs and design scalable, efficient solutions.

Students will be equipped to apply these structural concepts to solve practical programming challenges, such as executing searching, sorting, and data management tasks.",N/A,2h 46 minutes ,Beginner,Learners new to programming,Interactive,N/A,February 2025,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,,,
,,Complete Guide to C++ Programming Foundations,https://www.linkedin.com/learning/complete-guide-to-c-plus-plus-programming-foundations,LinkedIn Learning,Online Course,"By the end of this course, students will be able to apply core C++ programming fundamentals and leverage advanced features like the Standard Template Library (STL) to build robust applications.

Students will learn to write efficient, maintainable C++ code by solving practical, hands-on coding challenges.

Students will be equipped with the essential software development skills needed to tackle complex programming tasks and advance their careers as C++ developers.",N/A,7h 1 min,Beginner,N/A,Interactive,N/A,October 2024,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,,,
,,PHP with MySQL Essential Training: 1 The Basics,https://www.linkedin.com/learning/php-with-mysql-essential-training-1-the-basics,LinkedIn Learning,Online Course,"By the end of this course, students will be able to utilize PHP to develop interconnected, data-driven webpages capable of seamlessly passing dynamic content.

Students will learn to construct and process HTML forms, validate user data, and effectively manage and display errors using PHP.

Students will be equipped with MySQL fundamentals to establish secure database interactions for efficiently storing and retrieving data.",N/A,5h 52minutes ,Beginner,N/A,Interactive,N/A,November 2023,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,,,
